Date,SPY,GLD,TLT,XLE,MSFT,JPM
2016-09-28,186.4546356201172,126.22000122070312,106.87482452392578,23.70650291442871,51.85563659667969,51.7894172668457
2016-09-29,184.7677459716797,126.06999969482422,107.14509582519531,23.66574478149414,51.29267883300781,50.96650695800781
2016-09-30,186.16200256347656,125.63999938964844,106.18754577636719,23.988483428955078,51.47139358520508,51.696258544921875
2016-10-03,185.71444702148438,125.31999969482422,105.8371353149414,23.971492767333984,51.31056594848633,51.63414764404297
2016-10-04,184.7677459716797,120.97000122070312,104.59931945800781,23.72688865661621,51.14969253540039,52.079872131347656
2016-10-05,185.58535766601562,120.77999877929688,104.11193084716797,24.090402603149414,51.50715637207031,52.932220458984375
2016-10-06,185.71444702148438,119.66000366210938,103.53174591064453,24.127775192260742,51.59649658203125,53.0729866027832
2016-10-07,185.07752990722656,119.73999786376953,103.60138702392578,23.988483428955078,51.650115966796875,53.260658264160156
2016-10-10,186.0414581298828,120.16000366210938,102.99024963378906,24.365596771240234,51.86458206176758,53.67510986328125
2016-10-11,183.69190979003906,119.55000305175781,102.7582015991211,24.087013244628906,51.10502624511719,53.417057037353516
2016-10-12,183.93287658691406,119.73999786376953,102.85873413085938,23.985082626342773,51.033538818359375,53.27632522583008
2016-10-13,183.33041381835938,120.02999877929688,103.24552917480469,23.852588653564453,50.863739013671875,52.9713249206543
2016-10-14,183.425048828125,119.36000061035156,101.79890441894531,23.713300704956055,51.31056594848633,52.79929733276367
2016-10-17,182.78823852539062,119.68000030517578,102.44872283935547,23.597793579101562,51.13181686401367,52.52560043334961
2016-10-18,183.93287658691406,120.41999816894531,102.78134155273438,23.69291877746582,51.52501678466797,52.94004821777344
2016-10-19,184.42349243164062,121.11000061035156,102.86649322509766,24.029254913330078,51.40884017944336,53.44834518432617
2016-10-20,184.0791778564453,120.73999786376953,102.97476196289062,24.0020751953125,51.15864181518555,53.377952575683594
2016-10-21,184.16525268554688,120.83000183105469,103.12944793701172,23.845800399780273,53.31222915649414,53.55781936645508
2016-10-24,184.94842529296875,120.55999755859375,102.68077087402344,23.774452209472656,54.509639739990234,53.85497283935547
